experience_level,remote_ratio,company_size,employment_type_FL,employment_type_FT,employment_type_PT,salary_in_usd
0,50,2,False,True,False,64369
2,100,2,False,True,False,68428
3,0,1,False,True,False,85000
3,50,2,False,True,False,230000
0,100,0,False,True,False,125000
2,100,1,False,True,False,120000
1,0,1,False,True,False,450000
1,50,2,False,True,False,46759
1,50,2,False,True,False,74130
2,50,2,False,True,False,127543
2,100,2,False,True,False,144000
0,100,2,False,True,False,13400
1,100,2,False,True,False,75966
1,100,1,False,True,False,150000
1,100,2,False,True,False,103000
2,100,2,False,True,False,153000
1,100,2,False,True,False,90000
0,100,0,False,True,False,90000
0,100,0,False,True,False,60000
1,100,2,False,True,False,50000
0,100,1,False,False,True,12000
1,50,1,False,False,True,5423
1,100,2,False,False,False,270000
1,50,2,False,True,False,54376
1,100,0,False,True,False,47681
3,100,2,False,True,False,154963
1,100,2,False,True,False,28801
1,100,2,False,True,False,110000
0,50,2,False,True,False,83000
0,50,2,False,True,False,250000
0,50,1,False,True,False,59601
2,100,0,False,True,False,80000
0,100,0,False,True,False,10000
0,100,0,False,True,False,138000
1,100,2,False,True,False,140000
2,100,2,False,True,False,79866
2,100,2,False,True,False,170000
0,100,1,False,True,False,80000
1,100,0,False,True,False,45760
1,100,1,False,True,False,100000
2,50,2,False,True,False,53641
3,100,2,False,True,False,235000
3,100,2,False,True,False,150000
3,50,2,False,True,False,79833
0,100,2,False,True,False,225000
0,100,0,False,True,False,77481
1,0,1,False,True,False,50180
2,100,2,False,True,False,89402
2,100,0,False,True,False,103750
2,100,1,False,True,False,114125
2,50,2,False,True,False,95362
0,100,2,False,True,False,30509
2,100,1,False,True,False,150000
2,100,0,False,True,False,115000
1,100,2,False,True,False,187917
1,50,2,False,True,False,51814
1,100,2,False,True,False,106000
1,50,2,False,True,False,112872
1,50,2,False,True,False,36732
2,100,2,False,True,False,150000
0,100,0,False,False,True,15966
1,100,0,False,True,False,96554
0,100,1,False,True,False,70000
1,100,2,False,True,False,450000
1,100,0,False,True,False,76958
1,50,2,False,True,False,89514
0,50,2,False,True,False,29831
2,0,2,False,True,False,276000
2,100,2,False,True,False,188000
2,100,0,False,True,False,160000
1,100,2,False,True,False,105000
1,100,2,False,True,False,200000
2,100,2,False,True,False,174000
1,100,2,False,True,False,93000
0,100,1,False,True,False,28475
2,50,2,False,True,False,61270
0,100,0,False,True,False,90000
1,50,2,False,True,False,70139
0,0,0,False,True,False,6072
2,0,0,False,True,False,33511
2,100,1,False,True,False,170000
2,50,2,False,True,False,96833
1,0,1,False,True,False,13105
0,50,2,False,True,False,36952
1,50,2,False,True,False,72625
0,100,2,False,True,False,91000
2,50,1,False,True,False,99956
2,100,2,False,True,False,165000
1,100,2,False,True,False,80000
2,100,2,False,True,False,103954
0,50,1,False,True,False,21695
0,50,2,False,True,False,42000
1,0,2,False,True,False,115000
1,100,1,False,True,False,63971
2,0,0,False,True,False,260000
1,0,0,False,True,False,110000
1,100,2,False,True,False,180000
2,100,2,False,True,False,200000
2,50,1,False,True,False,109024
2,100,2,False,True,False,200000
2,100,0,False,True,False,256000
1,100,2,False,True,False,110000
1,0,2,False,True,False,79833
0,100,2,False,True,False,72500
2,50,2,False,True,False,185000
1,100,2,False,False,True,70329
0,0,2,False,True,False,100000
1,100,2,False,True,False,112000
2,50,2,False,True,False,150000
2,50,2,False,True,False,21843
2,100,2,False,True,False,55000
0,50,2,False,True,False,58000
0,100,1,False,True,False,100000
2,50,1,False,True,False,78340
0,100,0,False,True,False,85000
0,0,2,False,True,False,77481
2,100,1,False,False,False,105000
0,100,2,False,True,False,72000
0,50,1,False,True,False,65561
1,100,1,False,True,False,30337
1,0,1,False,True,False,111775
1,0,1,False,True,False,93150
2,50,0,False,True,False,160000
1,100,0,False,True,False,25747
2,0,2,False,True,False,66442
1,100,0,False,True,False,16949
2,50,2,False,True,False,64369
2,100,0,False,True,False,190000
3,0,2,False,True,False,143043
0,100,2,False,True,False,16271
2,100,1,False,True,False,71968
1,50,2,False,True,False,35735
2,0,2,False,True,False,135000
0,50,1,False,True,False,25032
2,50,2,False,True,False,54238
2,100,2,False,True,False,24407
0,100,0,False,True,False,9272
1,50,2,False,True,False,147000
2,50,2,False,True,False,96357
2,100,2,False,True,False,174000
1,100,2,False,True,False,135000
0,50,1,False,True,False,21844
2,50,0,False,True,False,125000
0,0,0,False,True,False,51321
1,0,2,False,True,False,40481
3,100,0,False,True,False,70329
2,100,1,False,True,False,50000
1,100,1,False,True,False,4000
0,0,1,False,True,False,39916
1,100,2,False,True,False,87000
1,0,2,False,True,False,26224
1,50,2,False,True,False,91500
1,0,2,False,True,False,22671
1,100,0,False,True,False,5695
0,50,0,False,True,False,81000
1,100,2,False,True,False,40798
1,0,0,False,True,False,2876
0,100,0,False,True,False,90000
1,50,1,False,True,False,61985
2,100,1,False,True,False,195000
1,100,2,False,True,False,38144
1,100,2,False,True,False,85000
3,100,0,False,False,False,416000
2,100,2,False,True,False,225000
1,50,2,False,True,False,56578
1,0,1,False,True,False,33899
1,50,2,False,True,False,117583
1,100,2,False,True,False,47129
1,50,2,False,True,False,8000
0,100,0,False,True,False,41689
2,100,0,False,True,False,114047
1,100,1,False,True,False,89402
0,50,1,False,True,False,5707
1,100,1,False,True,False,56000
0,50,0,False,False,True,28850
1,50,2,False,True,False,89402
1,0,1,False,True,False,43331
1,100,2,False,True,False,6072
2,50,2,False,True,False,47899
1,0,1,False,True,False,98000
1,50,0,False,True,False,66400
1,50,0,False,True,False,57217
1,50,2,False,True,False,25032
2,0,2,False,True,False,120000
1,0,2,True,False,False,20000
3,100,2,False,True,False,325000
2,100,2,False,True,False,200000
0,50,0,False,True,False,45896
1,100,2,False,True,False,160000
2,100,0,False,True,False,50000
1,100,1,False,True,False,40529
3,100,2,False,True,False,600000
1,0,0,False,True,False,13000
2,0,1,False,True,False,165000
0,0,2,False,True,False,5898
1,50,0,False,True,False,42197
2,100,2,False,True,False,185000
0,50,0,False,True,False,62726
1,50,2,False,True,False,91500
0,50,0,False,False,True,21669
1,100,2,False,True,False,110000
2,100,2,False,True,False,140000
2,50,2,False,True,False,120000
2,100,0,False,True,False,87961
2,50,2,False,True,False,62250
1,50,1,True,False,False,12000
2,50,0,False,True,False,77481
1,50,0,False,True,False,74000
2,100,2,False,True,False,152000
1,0,0,False,True,False,18000
2,100,0,True,False,False,60000
1,50,2,False,True,False,130000
2,0,1,False,True,False,19052
0,100,2,False,True,False,59601
2,100,1,False,True,False,175228
2,100,1,False,True,False,148261
1,100,1,False,True,False,38776
1,100,1,False,True,False,47204
0,0,1,False,True,False,4000
0,100,0,False,True,False,18102
2,0,0,False,True,False,91237
1,50,0,False,True,False,62726
1,50,2,False,True,False,115000
2,100,2,False,True,False,235000
1,100,2,False,True,False,19661
0,100,0,False,False,True,12000
1,0,2,False,True,False,75000
1,0,2,False,True,False,62000
1,0,2,False,True,False,73000
1,100,2,False,True,False,45773
2,100,1,False,True,False,190200
1,100,1,False,True,False,118000
1,100,1,False,True,False,138350
1,100,1,False,True,False,130800
2,100,0,False,True,False,45618
2,0,0,False,True,False,168000
1,100,1,False,True,False,119353
1,50,2,False,True,False,423000
1,50,2,False,True,False,28608
2,100,2,False,True,False,165000
2,100,2,False,True,False,412000
1,100,2,False,True,False,151000
0,100,0,False,True,False,105000
0,100,2,False,False,False,100000
2,50,2,False,True,False,94917
